"","year","mean","lw","up"
"1",2000,0.412658688962382,0.324716186744053,0.501137871382404
"2",2005,0.392200372659275,0.309614191712142,0.476351600058074
"3",2010,0.392839569075373,0.309224374963439,0.478292227567336
"4",2015,0.33412953105595,0.251680509665351,0.413098772665375
"5",2020,0.302652879579671,0.215752786407565,0.385407814708937
