"","x"
"348","Enugu"
"349","Enugu"
"350","Enugu"
"351","Enugu"
"352","Enugu"
"353","Enugu"
"354","Enugu"
"355","Enugu"
"356","Enugu"
"357","Enugu"
"358","Enugu"
"359","Enugu"
"360","Enugu"
"361","Imo"
"362","Imo"
"363","Imo"
"364","Imo"
"365","Imo"
"366","Imo"
"367","Imo"
"368","Imo"
"369","Imo"
"370","Imo"
"371","Imo"
"372","Imo"
"373","Imo"
"374","Imo"
"375","Imo"
"376","Imo"
"377","Akwa Ibom"
"378","Akwa Ibom"
"379","Akwa Ibom"
"380","Akwa Ibom"
"381","Akwa Ibom"
"382","Akwa Ibom"
"383","Akwa Ibom"
"384","Akwa Ibom"
"385","Akwa Ibom"
"386","Akwa Ibom"
"387","Akwa Ibom"
"388","Akwa Ibom"
"389","Akwa Ibom"
"390","Akwa Ibom"
"391","Akwa Ibom"
"392","Bayelsa"
"393","Bayelsa"
"394","Bayelsa"
"395","Bayelsa"
"396","Bayelsa"
"397","Bayelsa"
"398","Bayelsa"
"399","Bayelsa"
"400","Bayelsa"
"401","Bayelsa"
"402","Bayelsa"
"403","Bayelsa"
"404","Bayelsa"
"405","Cross River"
"406","Cross River"
"407","Cross River"
"408","Cross River"
"409","Cross River"
"410","Cross River"
"411","Cross River"
"412","Cross River"
"413","Cross River"
"414","Cross River"
"415","Cross River"
"416","Cross River"
"417","Cross River"
"418","Cross River"
"419","Cross River"
"420","Delta"
"421","Delta"
"422","Delta"
"423","Delta"
"424","Delta"
"425","Delta"
"426","Delta"
"427","Delta"
"428","Delta"
"429","Delta"
"430","Delta"
"431","Delta"
"432","Delta"
"433","Delta"
"434","Delta"
"435","Delta"
"436","Edo"
"437","Edo"
"438","Edo"
"439","Edo"
"440","Edo"
"441","Edo"
"442","Edo"
"443","Edo"
"444","Edo"
"445","Edo"
"446","Edo"
"447","Edo"
"448","Edo"
"449","Edo"
"450","Edo"
"451","Rivers"
"452","Rivers"
"453","Rivers"
"454","Rivers"
"455","Rivers"
"456","Rivers"
"457","Rivers"
"458","Rivers"
"459","Rivers"
"460","Rivers"
"461","Rivers"
"462","Rivers"
"463","Rivers"
"464","Rivers"
"465","Rivers"
"466","Rivers"
"467","Rivers"
"468","Rivers"
"469","Rivers"
"470","Rivers"
"471","Rivers"
"472","Rivers"
"473","Rivers"
"474","Ekiti"
"475","Ekiti"
"476","Ekiti"
"477","Ekiti"
"478","Ekiti"
"479","Ekiti"
"480","Ekiti"
"481","Ekiti"
"482","Ekiti"
"483","Ekiti"
"484","Ekiti"
"485","Ekiti"
"486","Ekiti"
"487","Ekiti"
"488","Lagos"
"489","Lagos"
"490","Lagos"
"491","Lagos"
"492","Lagos"
"493","Lagos"
"494","Lagos"
"495","Lagos"
"496","Lagos"
"497","Lagos"
"498","Lagos"
"499","Lagos"
"500","Lagos"
"501","Lagos"
"502","Lagos"
"503","Lagos"
"504","Lagos"
"505","Lagos"
"506","Ogun"
"507","Ogun"
"508","Ogun"
"509","Ogun"
"510","Ogun"
"511","Ogun"
"512","Ogun"
"513","Ogun"
"514","Ogun"
"515","Ogun"
"516","Ogun"
"517","Ogun"
"518","Ogun"
"519","Ogun"
"520","Ogun"
"521","Ondo"
"522","Ondo"
"523","Ondo"
"524","Ondo"
"525","Ondo"
"526","Ondo"
"527","Ondo"
"528","Ondo"
"529","Ondo"
"530","Ondo"
"531","Ondo"
"532","Ondo"
"533","Ondo"
"534","Ondo"
"535","Ondo"
"536","Osun"
"537","Osun"
"538","Osun"
"539","Osun"
"540","Osun"
"541","Osun"
"542","Osun"
"543","Osun"
"544","Osun"
"545","Osun"
"546","Osun"
"547","Osun"
"548","Osun"
"549","Osun"
"550","Osun"
"551","Oyo"
"552","Oyo"
"553","Oyo"
"554","Oyo"
"555","Oyo"
"556","Oyo"
"557","Oyo"
"558","Oyo"
"559","Oyo"
"560","Oyo"
"561","Oyo"
"562","Oyo"
"563","Oyo"
"564","Oyo"
"565","Oyo"
"566","Benue"
"567","Benue"
"568","Benue"
"569","Benue"
"570","Benue"
"571","Benue"
"572","Benue"
"573","Benue"
"574","Benue"
"575","Benue"
"576","Benue"
"577","Benue"
"578","Benue"
"579","Benue"
"580","Benue"
"581","Benue"
"582","FCT"
"583","FCT"
"584","FCT"
"585","FCT"
"586","FCT"
"587","FCT"
"588","FCT"
"589","FCT"
"590","FCT"
"591","FCT"
"592","FCT"
"593","FCT"
"594","Kogi"
"595","Kogi"
"596","Kogi"
"597","Kogi"
"598","Kogi"
"599","Kogi"
"600","Kogi"
"601","Kogi"
"602","Kogi"
"603","Kogi"
"604","Kogi"
"605","Kogi"
"606","Kogi"
"607","Kogi"
"608","Kogi"
"609","Kwara"
"610","Kwara"
"611","Kwara"
"612","Kwara"
"613","Kwara"
"614","Kwara"
"615","Kwara"
"616","Kwara"
"617","Kwara"
"618","Kwara"
"619","Kwara"
"620","Kwara"
"621","Kwara"
"622","Kwara"
"623","Nasarawa"
"624","Nasarawa"
"625","Nasarawa"
"626","Nasarawa"
"627","Nasarawa"
"628","Nasarawa"
"629","Nasarawa"
"630","Nasarawa"
"631","Nasarawa"
"632","Nasarawa"
"633","Nasarawa"
"634","Nasarawa"
"635","Nasarawa"
"636","Niger"
"637","Niger"
"638","Niger"
"639","Niger"
"640","Niger"
"641","Niger"
"642","Niger"
"643","Niger"
"644","Niger"
"645","Niger"
"646","Niger"
"647","Niger"
"648","Niger"
"649","Niger"
"650","Niger"
"651","Niger"
"652","Plateau"
"653","Plateau"
"654","Plateau"
"655","Plateau"
"656","Plateau"
"657","Plateau"
"658","Plateau"
"659","Plateau"
"660","Plateau"
"661","Plateau"
"662","Plateau"
"663","Plateau"
"664","Plateau"
"665","Plateau"
"666","Plateau"
"667","Adamawa"
"668","Adamawa"
"669","Adamawa"
"670","Adamawa"
"671","Adamawa"
"672","Adamawa"
"673","Adamawa"
"674","Adamawa"
"675","Adamawa"
"676","Adamawa"
"677","Adamawa"
"678","Adamawa"
"679","Adamawa"
"680","Adamawa"
"681","Adamawa"
"682","Bauchi"
"683","Bauchi"
"684","Bauchi"
"685","Bauchi"
"686","Bauchi"
"687","Bauchi"
"688","Bauchi"
"689","Bauchi"
"690","Bauchi"
"691","Bauchi"
"692","Bauchi"
"693","Bauchi"
"694","Bauchi"
"695","Bauchi"
"696","Bauchi"
"697","Bauchi"
"698","Borno"
"699","Borno"
"700","Borno"
"701","Borno"
"702","Borno"
"703","Borno"
"704","Borno"
"705","Borno"
"706","Borno"
"707","Borno"
"708","Borno"
"709","Borno"
"710","Borno"
"711","Borno"
"712","Borno"
"713","Borno"
"714","Gombe"
"715","Gombe"
"716","Gombe"
"717","Gombe"
"718","Gombe"
"719","Gombe"
"720","Gombe"
"721","Gombe"
"722","Gombe"
"723","Gombe"
"724","Gombe"
"725","Gombe"
"726","Gombe"
"727","Gombe"
"728","Taraba"
"729","Taraba"
"730","Taraba"
"731","Taraba"
"732","Taraba"
"733","Taraba"
"734","Taraba"
"735","Taraba"
